date_block_num,shop_id,item_id,item_price,vente_mensuelle
28,27,89,691.08,7
14,45,433,794.53,14
7,44,198,313.73,18
20,18,282,45.68,14
18,24,200,933.45,7
22,51,99,351.73,7
10,47,27,115.42,18
10,40,89,496.94,8
23,51,146,770.78,16
35,42,182,229.43,7
23,7,257,276.8,11
2,50,189,250.29,14
21,48,240,991.76,3
1,20,359,205.43,5
23,27,387,579.77,15
29,6,196,926.01,4
1,27,297,155.43,12
20,9,165,971.15,14
32,53,307,948.0,16
11,45,271,885.73,19
21,57,8,222.41,4
24,31,38,637.71,18
26,21,114,763.28,6
27,26,339,986.17,2
15,40,56,188.62,12
14,48,431,768.37,13
2,45,474,345.41,15
6,13,359,183.87,12
20,49,138,427.16,1
8,23,102,795.9,13
17,20,334,470.2,19
3,37,177,542.15,6
24,54,169,995.21,4
13,53,339,405.12,13
8,28,286,619.25,8
25,17,261,371.59,9
1,28,375,398.86,6
19,41,223,698.68,13
27,2,199,938.51,13
6,25,211,546.94,1
7,58,287,770.72,16
34,50,180,98.31,19
13,41,250,219.05,3
16,6,231,507.11,12
35,11,472,29.81,17
3,57,482,260.33,2
1,38,23,522.23,18
5,6,48,24.81,4
3,45,109,271.9,0
28,11,296,518.89,8
17,14,6,577.42,7
25,2,38,926.49,2
33,40,169,648.89,1
9,3,356,420.59,0
35,55,283,931.05,11
13,53,203,787.03,12
30,35,325,208.01,9
14,33,313,139.53,16
7,24,273,679.05,10
13,19,244,564.28,4
22,18,327,791.78,8
20,49,475,741.42,12
15,52,47,628.96,19
17,24,249,986.52,10
23,45,79,538.25,3
25,35,110,121.97,10
24,1,13,829.99,8
28,36,395,259.33,6
14,25,380,779.53,15
0,45,365,957.54,4
24,49,90,699.83,5
6,43,342,600.07,18
8,34,348,465.78,0
23,25,280,370.77,15
0,16,221,359.47,17
7,34,73,640.01,12
23,29,234,753.76,0
10,19,260,681.73,9
16,23,113,206.43,6
7,19,46,499.05,4
34,25,274,793.72,12
34,16,43,480.95,15
32,54,208,541.26,19
4,51,417,773.42,13
27,9,349,664.65,10
6,1,103,415.25,18
8,42,124,896.46,1
7,19,10,170.94,7
11,33,329,995.56,12
33,34,187,127.66,6
32,16,31,24.8,11
22,44,156,891.12,7
23,40,60,252.5,15
34,55,249,732.4,17
21,18,387,812.91,18
26,34,374,860.4,3
34,25,439,991.68,11
0,45,270,301.1,15
34,6,442,713.14,16
13,21,217,124.25,3
2,58,399,412.74,19
0,6,2,849.49,8
4,32,24,373.98,4
25,41,206,595.18,16
13,48,320,508.74,16
26,43,496,649.49,1
8,39,199,973.17,1
14,31,356,65.18,6
14,42,114,578.22,3
25,10,280,864.4,12
12,30,155,486.57,19
31,57,165,87.74,10
31,52,486,564.93,2
3,18,222,338.75,1
29,24,91,163.39,15
22,52,167,850.54,2
14,9,447,526.38,14
28,31,207,933.94,16
35,15,282,807.96,15
12,4,65,696.04,19
31,40,376,14.98,6
6,9,4,433.55,15
21,45,157,205.51,4
27,9,249,911.69,1
1,26,257,182.84,0
5,4,235,293.2,12
27,17,306,521.67,15
27,16,366,270.73,4
19,15,470,217.77,2
29,35,395,603.11,14
10,57,74,98.04,15
27,52,187,67.59,10
24,5,62,378.52,18
32,55,337,723.46,17
0,5,164,559.26,8
26,20,56,428.65,7
12,15,111,570.09,18
2,18,218,371.8,4
5,47,240,936.78,16
7,2,21,64.36,4
26,29,141,676.66,13
8,13,265,892.37,6
32,4,139,805.85,8
23,42,459,192.2,16
14,45,70,302.97,2
31,10,385,719.88,7
31,31,118,93.43,12
23,41,198,813.74,15
11,8,205,721.72,9
1,3,214,732.31,17
2,48,56,109.24,2
16,46,287,720.58,11
1,9,470,683.02,15
1,30,293,832.61,17
27,53,175,51.18,16
22,11,347,32.88,6
31,35,370,379.28,18
32,37,462,157.3,7
0,42,128,562.8,16
18,13,431,918.18,6
1,36,378,397.56,0
25,56,325,846.5,7
31,13,442,10.24,18
5,12,292,176.83,19
31,37,288,40.12,19
3,10,226,334.87,9
10,56,64,909.11,11
16,9,455,105.98,0
23,52,426,610.35,3
4,7,48,456.98,3
33,2,202,939.08,8
5,54,498,131.29,14
21,56,337,219.91,14
10,23,414,39.25,6
15,39,405,439.6,11
32,40,60,285.05,2
8,39,397,871.21,19
5,21,257,608.89,8
15,23,65,617.95,13
28,29,239,536.59,12
2,14,289,100.93,11
19,26,38,450.57,0
35,51,25,999.51,18
18,5,410,836.88,15
25,55,461,894.52,11
2,31,59,824.99,9
18,25,476,112.01,1
19,31,417,235.17,17
31,50,357,13.09,12
6,20,383,310.48,5
32,44,297,117.52,11
17,55,158,478.07,3
0,17,57,680.36,0
10,45,433,875.76,10
27,2,48,751.72,7
24,25,328,939.2,1
22,13,433,63.36,1
30,58,431,22.06,15
29,39,56,664.72,0
34,28,65,296.46,3
6,42,268,260.97,5
15,55,69,337.58,19
25,6,216,277.1,13
1,3,390,516.32,19
0,58,89,445.75,14
11,35,449,517.3,6
4,18,281,675.99,6
31,11,257,393.26,17
8,54,160,258.79,1
34,20,490,174.54,19
18,5,234,355.98,14
15,19,131,744.39,0
2,22,49,759.14,16
19,59,147,670.24,19
23,19,316,241.69,12
32,47,491,592.21,11
23,16,413,574.98,14
10,24,434,489.42,4
7,41,2,554.48,6
35,4,329,496.87,7
19,15,440,569.8,13
34,25,145,718.35,3
24,44,444,118.53,13
34,55,366,752.13,9
24,35,420,144.53,15
28,55,61,75.96,10
17,14,273,976.32,13
17,49,49,957.42,13
1,19,332,69.83,1
34,38,444,448.82,12
15,36,404,194.38,2
35,7,434,490.49,17
32,30,131,831.88,3
3,19,43,951.11,18
32,49,57,637.91,15
13,25,50,360.37,3
20,16,452,607.29,18
19,47,465,318.88,14
7,54,178,910.73,0
6,40,293,871.7,15
2,51,46,562.65,14
16,8,170,331.55,15
32,18,271,300.46,19
11,28,417,43.08,0
21,16,336,817.66,16
21,52,139,455.88,4
29,19,247,331.88,4
7,42,148,476.4,6
26,17,230,820.55,12
26,45,280,133.37,11
33,13,125,859.08,3
20,7,192,898.53,3
29,27,374,947.24,5
32,10,80,403.51,14
27,34,94,224.97,18
32,36,226,379.9,5
4,25,65,339.58,11
18,6,88,184.39,13
3,24,88,611.19,17
34,18,201,481.86,11
16,23,214,867.04,14
27,6,204,41.79,18
29,29,401,647.43,7
28,25,382,765.32,8
5,55,89,761.89,4
34,17,476,887.21,4
23,46,61,731.74,5
28,24,271,928.53,2
30,11,94,339.33,4
34,26,307,508.18,0
32,51,27,23.94,10
20,34,214,16.89,19
31,28,74,247.73,0
22,3,61,109.8,6
32,11,186,267.61,14
2,38,31,185.27,16
17,14,219,38.23,7
24,51,12,910.21,1
30,26,302,18.14,12
